Alter;Insg;Männlich;Weiblich
                          1 - 15;5;2;3
                         15 - 20;6;3;3
                         20 - 30;10;6;4
                         30 - 40;18;12;6
                         40 - 50;41;18;23
                         50 - 60;187;116;71
                         60 - 70;341;223;118
                         70 - 80;631;385;246
                         80 u.ä.;1483;582;901
353     Harburg                  ;;;
                         Insgesamt;2591;1304;1287
                         u. 1 Jahr;9;4;5
                          1 - 15;1;-;1
                         15 - 20;4;2;2
                         20 - 30;4;3;1
                         30 - 40;14;7;7
                         40 - 50;42;28;14
                         50 - 60;164;91;73
                         60 - 70;263;179;84
                         70 - 80;636;388;248
                         80 u.ä.;1454;602;852
354     Lüchow-Dannenberg        ;;;
                         Insgesamt;740;374;366
                         u. 1 Jahr;2;1;1
                          1 - 15;1;-;1
                         15 - 20;2;2;-
                         20 - 30;1;-;1
                         30 - 40;5;5;-
                         40 - 50;15;13;2
                         50 - 60;57;37;20
                         60 - 70;94;59;35
                         70 - 80;163;95;68
                         80 u.ä.;400;162;238
355     Lüneburg                 ;;;
                         Insgesamt;1907;947;960
                         u. 1 Jahr;6;4;2
                          1 - 15;2;2;-
                         15 - 20;1;1;-
                         20 - 30;5;4;1
                         30 - 40;18;15;3
                         40 - 50;39;25;14
                         50 - 60;124;82;42
                         60 - 70;232;138;94
                         70 - 80;432;260;172
                         80 u.ä.;1048;416;632
356     Osterholz                ;;;
                         Insgesamt;1319;668;651
                         u. 1 Jahr;2;2;-
                          1 - 15;2;2;-
                         15 - 20;1;1;-
                         20 - 30;3;2;1
                         30 - 40;3;2;1
                         40 - 50;32;23;9
                         50 - 60;82;55;27
                         60 - 70;172;101;71
                         70 - 80;340;214;126
                         80 u.ä.;682;266;416
357     Rotenburg (Wümme)        ;;;
                         Insgesamt;1946;1013;933
                         u. 1 Jahr;8;5;3
                          1 - 15;2;-;2
                         15 - 20;2;1;1
                         20 - 30;7;7;-
                         30 - 40;11;8;3
                         40 - 50;52;35;17
                         50 - 60;111;75;36
                         60 - 70;252;167;85
                         70 - 80;449;267;182
                         80 u.ä.;1052;448;604
358     Heidekreis               ;;;
                         Insgesamt;1713;854;859
                         u. 1 Jahr;5;3;2
                          1 - 15;1;1;-
                         15 - 20;2;1;1
                         20 - 30;6;6;-
                         30 - 40;7;4;3
                         40 - 50;26;15;11
                         50 - 60;117;72;45
                         60 - 70;197;122;75
                         70 - 80;427;253;174
                         80 u.ä.;925;377;548
359     Stade                    ;;;
                         Insgesamt;2168;1048;1120
                         u. 1 Jahr;5;3;2
                          1 - 15;3;3;-
                         15 - 20;2;2;-
                         20 - 30;10;8;2
                         30 - 40;15;9;6
                         40 - 50;47;26;21
                         50 - 60;125;80;45
                         60 - 70;247;155;92
                         70 - 80;501;297;204
                         80 u.ä.;1213;465;748
360     Uelzen                   ;;;
                         Insgesamt;1333;667;666
                         u. 1 Jahr;4;2;2
                          1 - 15;1;-;1
                         15 - 20;1;1;-
                         20 - 30;3;2;1
                         30 - 40;8;5;3
                         40 - 50;22;13;9
                         50 - 60;83;50;33
                         60 - 70;161;106;55
                         70 - 80;339;209;130
                         80 u.ä.;711;279;432
361     Verden                   ;;;
                         Insgesamt;1616;779;837
                         u. 1 Jahr;6;5;1
