Kreise;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
 ;;;
            67 - 68;2604;1209;1395
            68 - 69;2604;1191;1413
            69 - 70;2443;1126;1317
            70 - 71;2267;1023;1244
            71 - 72;1956;878;1078
            72 - 73;1762;842;920
            73 - 74;2208;986;1222
            74 - 75;2432;1107;1325
            75 - 76;2376;1070;1306
            76 - 77;2810;1281;1529
            77 - 78;2702;1233;1469
            78 - 79;2582;1105;1477
            79 - 80;2339;989;1350
            80 - 81;2206;916;1290
            81 - 82;2032;793;1239
            82 - 83;1786;714;1072
            83 - 84;1532;601;931
            84 - 85;1070;414;656
            85 - 86;1020;375;645
            86 - 87;977;340;637
            87 - 88;973;355;618
            88 - 89;886;271;615
            89 - 90;749;224;525
            90 - 91;623;182;441
            91 - 92;583;172;411
            92 - 93;452;94;358
            93 - 94;351;62;289
            94 - 95;230;41;189
            95 - 96;177;36;141
            96 - 97;140;22;118
            97 - 98;101;20;81
            98 - 99;51;6;45
            99 - 100;12;2;10
            100 und älter;47;5;42
102     Salzgitter,Stadt         ;;;
 ;;;
            Insgesamt;104548;51990;52558
 ;;;
             0 -  1;1126;574;552
             1 -  2;1145;598;547
             2 -  3;1040;534;506
             3 -  4;1044;546;498
             4 -  5;999;491;508
             5 -  6;1025;543;482
             6 -  7;1003;515;488
             7 -  8;990;514;476
             8 -  9;966;515;451
             9 - 10;996;500;496
            10 - 11;984;526;458
            11 - 12;980;553;427
            12 - 13;1015;523;492
            13 - 14;928;499;429
            14 - 15;944;457;487
            15 - 16;1042;570;472
            16 - 17;1049;510;539
            17 - 18;1128;597;531
            18 - 19;1115;585;530
            19 - 20;1164;618;546
            20 - 21;1252;692;560
            21 - 22;1300;713;587
            22 - 23;1215;637;578
            23 - 24;1262;679;583
            24 - 25;1276;662;614
            25 - 26;1252;669;583
            26 - 27;1254;688;566
            27 - 28;1266;692;574
            28 - 29;1245;675;570
            29 - 30;1293;678;615
            30 - 31;1250;673;577
            31 - 32;1204;629;575
            32 - 33;1177;638;539
            33 - 34;1158;603;555
            34 - 35;1208;659;549
            35 - 36;1152;607;545
            36 - 37;1183;609;574
            37 - 38;1278;657;621
            38 - 39;1167;595;572
            39 - 40;1144;645;499
            40 - 41;1176;593;583
            41 - 42;1114;561;553
            42 - 43;1141;557;584
            43 - 44;1129;570;559
            44 - 45;1122;553;569
            45 - 46;1181;610;571
            46 - 47;1345;647;698
            47 - 48;1423;694;729
            48 - 49;1467;733;734
            49 - 50;1579;763;816
            50 - 51;1596;827;769
            51 - 52;1652;817;835
            52 - 53;1628;859;769
            53 - 54;1757;893;864
            54 - 55;1629;803;826
            55 - 56;1639;832;807
            56 - 57;1587;830;757
            57 - 58;1629;841;788
            58 - 59;1504;739;765
            59 - 60;1460;721;739
            60 - 61;1408;659;749
            61 - 62;1384;702;682
            62 - 63;1348;644;704
            63 - 64;1340;674;666
            64 - 65;1280;631;649
            65 - 66;1281;596;685
            66 - 67;1348;623;725
            67 - 68;1192;580;612
            68 - 69;1198;607;591
            69 - 70;1214;574;640
            70 - 71;1050;489;561
            71 - 72;938;457;481
            72 - 73;836;393;443
            73 - 74;1051;464;587
            74 - 75;1042;481;561
            75 - 76;995;463;532
            76 - 77;1157;530;627
            77 - 78;1205;529;676
            78 - 79;1157;522;635
            79 - 80;1048;463;585
            80 - 81;976;404;572
            81 - 82;934;377;557
            82 - 83;819;340;479
            83 - 84;722;300;422
            84 - 85;537;218;319
            85 - 86;517;198;319
            86 - 87;489;161;328
            87 - 88;446;144;302
            88 - 89;374;130;244
            89 - 90;293;93;200
            90 - 91;236;56;180
            91 - 92;200;54;146
            92 - 93;181;58;123
            93 - 94;102;23;79
            94 - 95;81;10;71
            95 - 96;59;9;50
            96 - 97;61;13;48
            97 - 98;37;3;34
            98 - 99;15;4;11
            99 - 100;8;2;6
            100 und älter;12;1;11
103     Wolfsburg,Stadt          ;;;
 ;;;
            Insgesamt;123914;61559;62355
 ;;;
             0 -  1;1274;637;637
             1 -  2;1371;740;631
             2 -  3;1277;639;638
             3 -  4;1231;656;575
             4 -  5;1150;599;551
             5 -  6;1175;618;557
             6 -  7;1076;576;500
             7 -  8;1076;562;514
             8 -  9;1101;553;548
             9 - 10;1053;527;526
            10 - 11;1040;550;490
            11 - 12;1014;525;489
            12 - 13;1000;536;464
            13 - 14;1012;495;517
            14 - 15;1045;508;537
            15 - 16;1079;589;490
            16 - 17;1103;558;545
            17 - 18;1079;581;498
            18 - 19;1092;562;530
            19 - 20;1147;616;531
            20 - 21;1176;617;559
            21 - 22;1282;701;581
            22 - 23;1266;681;585
            23 - 24;1327;710;617
            24 - 25;1457;741;716
            25 - 26;1551;842;709
            26 - 27;1608;861;747
            27 - 28;1865;1012;853
            28 - 29;1803;949;854
            29 - 30;1879;995;884
            30 - 31;1858;979;879
            31 - 32;1755;922;833
            32 - 33;1814;955;859
            33 - 34;1756;927;829
            34 - 35;1733;907;826
            35 - 36;1791;921;870
            36 - 37;1698;877;821
            37 - 38;1687;866;821
            38 - 39;1602;842;760
            39 - 40;1527;796;731
            40 - 41;1558;856;702
            41 - 42;1454;749;705
            42 - 43;1394;720;674
            43 - 44;1286;674;612
            44 - 45;1383;706;677
            45 - 46;1465;731;734
            46 - 47;1590;798;792
            47 - 48;1649;819;830
            48 - 49;1751;857;894
            49 - 50;1833;923;910
            50 - 51;1923;957;966
            51 - 52;1918;959;959
            52 - 53;1829;945;884
            53 - 54;1923;979;944
            54 - 55;1960;979;981
            55 - 56;1942;1007;935
            56 - 57;1857;922;935
            57 - 58;1802;888;914
            58 - 59;1764;867;897
            59 - 60;1598;778;820
            60 - 61;1582;786;796
            61 - 62;1610;787;823
            62 - 63;1540;737;803
            63 - 64;1484;715;769
            64 - 65;1318;603;715
            65 - 66;1419;698;721
            66 - 67;1374;680;694
            67 - 68;1357;665;692
            68 - 69;1263;585;678
            69 - 70;1202;563;639
            70 - 71;1125;513;612
            71 - 72;944;449;495
            72 - 73;826;372;454
            73 - 74;1147;499;648
            74 - 75;1223;546;677
            75 - 76;1194;541;653
            76 - 77;1548;689;859
            77 - 78;1447;604;843
            78 - 79;1472;661;811
            79 - 80;1362;599;763
            80 - 81;1308;537;771
            81 - 82;1197;492;705
            82 - 83;1063;473;590
            83 - 84;913;392;521
            84 - 85;645;272;373
            85 - 86;630;257;373
            86 - 87;511;196;315
            87 - 88;543;183;360
            88 - 89;419;140;279
            89 - 90;369;129;240
            90 - 91;293;111;182
            91 - 92;263;80;183
            92 - 93;189;52;137
            93 - 94;119;29;90
            94 - 95;104;28;76
            95 - 96;65;19;46
            96 - 97;53;13;40
            97 - 98;32;6;26
            98 - 99;19;4;15
            99 - 100;12;6;6
            100 und älter;21;6;15
151     Gifhorn                  ;;;
 ;;;
            Insgesamt;175079;87743;87336
 ;;;
             0 -  1;1693;879;814
             1 -  2;1870;974;896
             2 -  3;1726;884;842
             3 -  4;1681;851;830
             4 -  5;1630;844;786
             5 -  6;1706;868;838
             6 -  7;1519;747;772
             7 -  8;1671;875;796
             8 -  9;1635;843;792
             9 - 10;1685;838;847
            10 - 11;1751;928;823
            11 - 12;1663;858;805
            12 - 13;1689;833;856
            13 - 14;1780;938;842
            14 - 15;1768;901;867
            15 - 16;1911;962;949
            16 - 17;1933;979;954
            17 - 18;2091;1051;1040
            18 - 19;2037;1120;917
            19 - 20;1909;1053;856
            20 - 21;1900;1082;818
            21 - 22;1865;1014;851
            22 - 23;1745;972;773
            23 - 24;1670;905;765
            24 - 25;1798;1004;794
            25 - 26;1706;950;756
            26 - 27;1743;957;786
            27 - 28;1918;991;927
            28 - 29;1882;1006;876
            29 - 30;2060;1086;974
            30 - 31;2019;1014;1005
            31 - 32;2057;1067;990
            32 - 33;2013;1009;1004
            33 - 34;2069;1031;1038
            34 - 35;2021;1053;968
            35 - 36;2120;1101;1019
            36 - 37;2071;995;1076
            37 - 38;2127;1039;1088
            38 - 39;2040;1052;988
            39 - 40;2075;1039;1036
            40 - 41;2042;1009;1033
            41 - 42;1962;983;979
            42 - 43;1843;927;916
            43 - 44;2010;1014;996
            44 - 45;2046;1023;1023
            45 - 46;2354;1169;1185
            46 - 47;2496;1210;1286
            47 - 48;2563;1296;1267
            48 - 49;2794;1432;1362
            49 - 50;3029;1531;1498
            50 - 51;3149;1572;1577
            51 - 52;3360;1679;1681
            52 - 53;3245;1642;1603
            53 - 54;3292;1624;1668
            54 - 55;3286;1672;1614
            55 - 56;3236;1681;1555
            56 - 57;3179;1592;1587
            57 - 58;3004;1539;1465
            58 - 59;2867;1476;1391
            59 - 60;2700;1388;1312
            60 - 61;2591;1302;1289
            61 - 62;2457;1192;1265
            62 - 63;2293;1197;1096
            63 - 64;2227;1097;1130
            64 - 65;2158;1111;1047
            65 - 66;2144;1034;1110
            66 - 67;2144;1057;1087
            67 - 68;1981;994;987
            68 - 69;1937;1007;930
            69 - 70;1748;866;882
            70 - 71;1493;709;784
            71 - 72;1368;642;726
            72 - 73;1078;522;556
            73 - 74;1383;673;710
            74 - 75;1568;735;833
            75 - 76;1518;716;802
            76 - 77;1783;837;946
            77 - 78;1761;847;914
            78 - 79;1622;763;859
            79 - 80;1511;704;807
            80 - 81;1380;614;766
            81 - 82;1238;525;713
            82 - 83;1168;483;685
            83 - 84;1009;404;605
            84 - 85;727;264;463
            85 - 86;630;252;378
            86 - 87;609;250;359
            87 - 88;633;237;396
            88 - 89;511;174;337
            89 - 90;393;132;261
            90 - 91;331;124;207
            91 - 92;252;74;178
            92 - 93;209;53;156
            93 - 94;141;36;105
            94 - 95;124;19;105
            95 - 96;91;14;77
            96 - 97;53;10;43
            97 - 98;54;10;44
            98 - 99;23;4;19
            99 - 100;6;-;6
            100 und älter;28;7;21
153     Goslar                   ;;;
 ;;;
            Insgesamt;137563;68022;69541
 ;;;
             0 -  1;966;478;488
             1 -  2;1008;498;510
             2 -  3;972;515;457
             3 -  4;971;494;477
             4 -  5;933;473;460
             5 -  6;910;464;446
             6 -  7;913;471;442
             7 -  8;1016;530;486
             8 -  9;930;472;458
             9 - 10;1102;575;527
            10 - 11;1043;555;488
            11 - 12;1016;526;490
            12 - 13;1048;538;510
            13 - 14;1097;571;526
            14 - 15;1075;556;519
            15 - 16;1177;578;599
            16 - 17;1321;712;609
            17 - 18;1307;682;625
            18 - 19;1356;748;608
            19 - 20;1488;838;650
            20 - 21;1567;891;676
            21 - 22;1522;902;620
            22 - 23;1554;899;655
            23 - 24;1513;847;666
            24 - 25;1589;902;687
            25 - 26;1603;921;682
            26 - 27;1573;889;684
            27 - 28;1556;884;672
            28 - 29;1510;846;664
            29 - 30;1495;850;645
            30 - 31;1419;747;672
            31 - 32;1428;755;673
            32 - 33;1274;623;651
            33 - 34;1288;674;614
            34 - 35;1293;620;673
            35 - 36;1396;690;706
            36 - 37;1370;701;669
            37 - 38;1431;761;670
            38 - 39;1388;717;671
            39 - 40;1334;671;663
            40 - 41;1281;646;635
            41 - 42;1351;679;672
            42 - 43;1401;673;728
            43 - 44;1383;679;704
            44 - 45;1427;700;727
            45 - 46;1713;851;862
            46 - 47;1898;941;957
            47 - 48;1949;958;991
            48 - 49;2154;1092;1062
            49 - 50;2354;1190;1164
            50 - 51;2348;1202;1146
            51 - 52;2306;1161;1145
            52 - 53;2370;1233;1137
            53 - 54;2415;1178;1237
            54 - 55;2341;1202;1139
            55 - 56;2267;1152;1115
            56 - 57;2374;1185;1189
            57 - 58;2171;1048;1123
            58 - 59;2144;1096;1048
            59 - 60;2022;974;1048
            60 - 61;2018;999;1019
            61 - 62;2021;999;1022
            62 - 63;1973;980;993
            63 - 64;1890;941;949
            64 - 65;1867;902;965
            65 - 66;1901;937;964
            66 - 67;1914;935;979
            67 - 68;1926;936;990
            68 - 69;1844;853;991
            69 - 70;1731;824;907
            70 - 71;1679;816;863
            71 - 72;1465;689;776
            72 - 73;1209;553;656
            73 - 74;1635;766;869
            74 - 75;1669;771;898
            75 - 76;1549;716;833
            76 - 77;1880;866;1014
            77 - 78;1929;893;1036
            78 - 79;1842;824;1018
            79 - 80;1790;763;1027
            80 - 81;1569;689;880
            81 - 82;1439;617;822
            82 - 83;1305;498;807
            83 - 84;1084;419;665
            84 - 85;845;314;531
            85 - 86;742;282;460
            86 - 87;707;250;457
            87 - 88;678;225;453
            88 - 89;572;194;378
            89 - 90;523;172;351
            90 - 91;468;164;304
            91 - 92;351;80;271
            92 - 93;315;80;235
            93 - 94;237;62;175
            94 - 95;173;31;142
            95 - 96;136;23;113
            96 - 97;115;28;87
            97 - 98;61;10;51
            98 - 99;34;7;27
            99 - 100;16;3;13
            100 und älter;40;7;33
154     Helmstedt                ;;;
 ;;;
            Insgesamt;91720;45467;46253
 ;;;
             0 -  1;845;441;404
             1 -  2;801;400;401
             2 -  3;811;429;382
             3 -  4;791;398;393
             4 -  5;799;395;404
             5 -  6;714;366;348
             6 -  7;710;359;351
             7 -  8;786;408;378
             8 -  9;727;358;369
             9 - 10;754;399;355
            10 - 11;796;410;386
            11 - 12;807;412;395
            12 - 13;819;433;386
            13 - 14;808;404;404
            14 - 15;790;458;332
            15 - 16;801;401;400
            16 - 17;858;457;401
            17 - 18;946;507;439
            18 - 19;936;498;438
            19 - 20;955;508;447
            20 - 21;884;471;413
            21 - 22;832;447;385
            22 - 23;877;467;410
            23 - 24;881;472;409
            24 - 25;890;489;401
            25 - 26;813;450;363
            26 - 27;922;474;448
            27 - 28;1050;555;495
            28 - 29;1029;539;490
            29 - 30;1032;532;500
            30 - 31;1074;539;535
            31 - 32;1038;541;497
            32 - 33;1048;527;521
            33 - 34;997;553;444
            34 - 35;1044;517;527
            35 - 36;1065;540;525
            36 - 37;1036;528;508
            37 - 38;1128;593;535
            38 - 39;1067;491;576
            39 - 40;1043;537;506
            40 - 41;1017;515;502
            41 - 42;1035;530;505
            42 - 43;952;484;468
            43 - 44;1007;513;494
            44 - 45;1019;530;489
            45 - 46;1140;595;545
            46 - 47;1203;612;591
            47 - 48;1399;716;683
            48 - 49;1413;693;720
            49 - 50;1526;761;765
            50 - 51;1656;837;819
            51 - 52;1669;853;816
            52 - 53;1641;828;813
            53 - 54;1693;826;867
            54 - 55;1677;857;820
            55 - 56;1650;809;841
            56 - 57;1614;811;803
            57 - 58;1548;790;758
            58 - 59;1538;763;775
            59 - 60;1499;784;715
            60 - 61;1380;700;680
            61 - 62;1314;676;638
            62 - 63;1288;643;645
            63 - 64;1316;641;675
            64 - 65;1203;590;613
            65 - 66;1177;601;576
            66 - 67;1175;603;572
            67 - 68;1154;572;582
            68 - 69;1095;530;565
            69 - 70;1099;525;574
            70 - 71;922;447;475
            71 - 72;823;384;439
            72 - 73;708;361;347
            73 - 74;884;405;479
            74 - 75;859;424;435
            75 - 76;859;421;438
            76 - 77;1013;480;533
            77 - 78;1038;465;573
            78 - 79;1081;480;601
            79 - 80;980;427;553
            80 - 81;867;368;499
            81 - 82;807;341;466
            82 - 83;770;305;465
            83 - 84;623;223;400
            84 - 85;478;165;313
            85 - 86;437;163;274
            86 - 87;388;138;250
            87 - 88;387;119;268
            88 - 89;365;105;260
            89 - 90;297;105;192
            90 - 91;258;77;181
            91 - 92;202;51;151
            92 - 93;149;35;114
            93 - 94;111;21;90
            94 - 95;96;13;83
            95 - 96;73;21;52
            96 - 97;52;12;40
            97 - 98;43;8;35
            98 - 99;28;8;20
            99 - 100;6;1;5
            100 und älter;15;3;12
155     Northeim                 ;;;
 ;;;
            Insgesamt;133046;65497;67549
 ;;;
             0 -  1;1028;534;494
             1 -  2;1060;559;501
             2 -  3;1060;550;510
             3 -  4;1101;557;544
             4 -  5;1048;521;527
             5 -  6;1026;521;505
             6 -  7;1006;507;499
             7 -  8;1064;558;506
             8 -  9;1043;533;510
             9 - 10;1134;585;549
            10 - 11;1104;560;544
            11 - 12;1075;555;520
            12 - 13;1138;573;565
            13 - 14;1147;593;554
            14 - 15;1224;653;571
            15 - 16;1220;660;560
            16 - 17;1233;619;614
            17 - 18;1447;750;697
            18 - 19;1459;759;700
            19 - 20;1443;748;695
            20 - 21;1474;764;710
            21 - 22;1314;714;600
            22 - 23;1242;660;582
            23 - 24;1212;656;556
            24 - 25;1303;692;611
            25 - 26;1258;676;582
            26 - 27;1295;686;609
            27 - 28;1361;709;652
