Kreise;Insgesamt;Männlich;Weiblich
0       Niedersachsen            ;;;
 ;;;
             4 -  5;558;280;278
             5 -  6;550;271;279
             6 -  7;499;257;242
             7 -  8;583;306;277
             8 -  9;595;309;286
             9 - 10;546;283;263
            10 - 11;561;270;291
            11 - 12;581;314;267
            12 - 13;578;299;279
            13 - 14;625;311;314
            14 - 15;682;350;332
            15 - 16;688;363;325
            16 - 17;728;376;352
            17 - 18;781;426;355
            18 - 19;775;436;339
            19 - 20;744;415;329
            20 - 21;792;412;380
            21 - 22;773;376;397
            22 - 23;749;388;361
            23 - 24;720;417;303
            24 - 25;772;416;356
            25 - 26;726;381;345
            26 - 27;762;432;330
            27 - 28;780;421;359
            28 - 29;687;380;307
            29 - 30;744;407;337
            30 - 31;756;399;357
            31 - 32;723;396;327
            32 - 33;683;372;311
            33 - 34;695;371;324
            34 - 35;715;384;331
            35 - 36;717;374;343
            36 - 37;747;371;376
            37 - 38;711;344;367
            38 - 39;685;364;321
            39 - 40;694;338;356
            40 - 41;690;354;336
            41 - 42;675;338;337
            42 - 43;666;320;346
            43 - 44;692;327;365
            44 - 45;752;379;373
            45 - 46;827;403;424
            46 - 47;965;492;473
            47 - 48;993;495;498
            48 - 49;1091;528;563
            49 - 50;1182;568;614
            50 - 51;1162;596;566
            51 - 52;1245;624;621
            52 - 53;1269;635;634
            53 - 54;1202;608;594
            54 - 55;1272;641;631
            55 - 56;1211;622;589
            56 - 57;1288;646;642
            57 - 58;1150;569;581
            58 - 59;1139;593;546
            59 - 60;1068;518;550
            60 - 61;1074;519;555
            61 - 62;1031;513;518
            62 - 63;1032;527;505
            63 - 64;1003;513;490
            64 - 65;1033;495;538
            65 - 66;997;499;498
            66 - 67;973;461;512
            67 - 68;932;471;461
            68 - 69;1019;504;515
            69 - 70;866;440;426
            70 - 71;759;371;388
            71 - 72;731;321;410
            72 - 73;561;271;290
            73 - 74;743;366;377
            74 - 75;781;358;423
            75 - 76;732;344;388
            76 - 77;893;426;467
            77 - 78;970;439;531
            78 - 79;903;423;480
            79 - 80;801;377;424
            80 - 81;814;360;454
            81 - 82;743;306;437
            82 - 83;653;269;384
            83 - 84;547;216;331
            84 - 85;430;166;264
            85 - 86;389;144;245
            86 - 87;395;145;250
            87 - 88;332;118;214
            88 - 89;315;117;198
            89 - 90;252;90;162
            90 - 91;218;67;151
            91 - 92;180;44;136
            92 - 93;156;46;110
            93 - 94;119;28;91
            94 - 95;86;24;62
            95 - 96;68;16;52
            96 - 97;64;13;51
            97 - 98;37;7;30
            98 - 99;19;2;17
            99 - 100;9;3;6
            100 und älter;16;2;14
256     Nienburg (Weser)         ;;;
 ;;;
            Insgesamt;121470;60379;61091
 ;;;
             0 -  1;1060;532;528
             1 -  2;1115;521;594
             2 -  3;1066;510;556
             3 -  4;1069;561;508
             4 -  5;1071;517;554
             5 -  6;1017;542;475
             6 -  7;1055;512;543
             7 -  8;1078;567;511
             8 -  9;1078;549;529
             9 - 10;1141;580;561
            10 - 11;1114;551;563
            11 - 12;1130;578;552
            12 - 13;1183;571;612
            13 - 14;1236;623;613
            14 - 15;1232;650;582
            15 - 16;1254;656;598
            16 - 17;1336;686;650
            17 - 18;1403;760;643
            18 - 19;1369;694;675
            19 - 20;1448;791;657
            20 - 21;1414;739;675
            21 - 22;1361;791;570
            22 - 23;1260;665;595
            23 - 24;1212;666;546
            24 - 25;1251;695;556
            25 - 26;1288;704;584
            26 - 27;1287;684;603
            27 - 28;1299;679;620
            28 - 29;1287;729;558
            29 - 30;1323;693;630
            30 - 31;1322;710;612
            31 - 32;1302;664;638
            32 - 33;1266;646;620
            33 - 34;1295;658;637
            34 - 35;1194;611;583
            35 - 36;1349;680;669
            36 - 37;1311;668;643
            37 - 38;1319;673;646
            38 - 39;1257;649;608
            39 - 40;1267;631;636
            40 - 41;1319;659;660
            41 - 42;1322;709;613
            42 - 43;1297;630;667
            43 - 44;1325;678;647
            44 - 45;1348;689;659
            45 - 46;1564;785;779
            46 - 47;1694;856;838
            47 - 48;1832;890;942
            48 - 49;1961;975;986
            49 - 50;2058;1078;980
            50 - 51;2164;1086;1078
            51 - 52;2154;1097;1057
            52 - 53;2205;1137;1068
            53 - 54;2252;1139;1113
            54 - 55;2202;1150;1052
            55 - 56;2223;1121;1102
            56 - 57;2173;1133;1040
            57 - 58;2058;1022;1036
            58 - 59;1980;1016;964
            59 - 60;1867;918;949
            60 - 61;1863;963;900
            61 - 62;1755;892;863
            62 - 63;1645;814;831
            63 - 64;1597;789;808
            64 - 65;1598;822;776
            65 - 66;1509;751;758
            66 - 67;1536;726;810
            67 - 68;1441;745;696
            68 - 69;1428;690;738
            69 - 70;1337;684;653
            70 - 71;1163;564;599
            71 - 72;1095;528;567
            72 - 73;762;387;375
            73 - 74;1036;452;584
            74 - 75;1105;542;563
            75 - 76;1007;459;548
            76 - 77;1251;581;670
            77 - 78;1388;602;786
            78 - 79;1280;548;732
            79 - 80;1251;551;700
            80 - 81;1077;453;624
            81 - 82;1013;430;583
            82 - 83;929;387;542
            83 - 84;819;299;520
            84 - 85;662;269;393
            85 - 86;537;202;335
            86 - 87;518;181;337
            87 - 88;533;170;363
            88 - 89;433;133;300
            89 - 90;376;109;267
            90 - 91;275;88;187
            91 - 92;221;61;160
            92 - 93;200;45;155
            93 - 94;146;36;110
            94 - 95;110;21;89
            95 - 96;100;17;83
            96 - 97;57;17;40
            97 - 98;37;4;33
            98 - 99;22;4;18
            99 - 100;7;-;7
            100 und älter;34;9;25
257     Schaumburg               ;;;
 ;;;
            Insgesamt;157883;77206;80677
 ;;;
             0 -  1;1248;610;638
             1 -  2;1384;675;709
             2 -  3;1308;664;644
             3 -  4;1292;660;632
             4 -  5;1277;655;622
             5 -  6;1229;634;595
             6 -  7;1249;630;619
             7 -  8;1288;670;618
             8 -  9;1250;624;626
             9 - 10;1302;639;663
            10 - 11;1369;708;661
            11 - 12;1440;756;684
            12 - 13;1345;686;659
            13 - 14;1472;749;723
            14 - 15;1553;806;747
            15 - 16;1518;776;742
            16 - 17;1648;861;787
            17 - 18;1757;874;883
            18 - 19;1839;957;882
            19 - 20;1846;1037;809
            20 - 21;1669;868;801
            21 - 22;1612;873;739
            22 - 23;1545;812;733
            23 - 24;1475;806;669
            24 - 25;1584;841;743
            25 - 26;1507;775;732
            26 - 27;1613;813;800
            27 - 28;1670;884;786
            28 - 29;1515;778;737
            29 - 30;1600;822;778
            30 - 31;1597;847;750
            31 - 32;1610;821;789
            32 - 33;1558;770;788
            33 - 34;1582;804;778
            34 - 35;1588;793;795
            35 - 36;1683;834;849
            36 - 37;1723;856;867
            37 - 38;1714;882;832
            38 - 39;1619;768;851
            39 - 40;1667;867;800
            40 - 41;1672;816;856
            41 - 42;1641;838;803
            42 - 43;1608;800;808
            43 - 44;1724;877;847
            44 - 45;1768;856;912
            45 - 46;1929;974;955
            46 - 47;2224;1065;1159
            47 - 48;2339;1168;1171
            48 - 49;2703;1320;1383
            49 - 50;2747;1395;1352
            50 - 51;2838;1401;1437
            51 - 52;3007;1540;1467
            52 - 53;2919;1484;1435
            53 - 54;2882;1462;1420
            54 - 55;2962;1424;1538
            55 - 56;2755;1378;1377
            56 - 57;2707;1400;1307
            57 - 58;2606;1309;1297
            58 - 59;2500;1263;1237
            59 - 60;2368;1159;1209
            60 - 61;2379;1216;1163
            61 - 62;2216;1093;1123
            62 - 63;2093;1044;1049
            63 - 64;2114;1030;1084
            64 - 65;1990;949;1041
            65 - 66;1982;953;1029
            66 - 67;2010;943;1067
            67 - 68;2034;1006;1028
            68 - 69;1978;960;1018
            69 - 70;1814;895;919
            70 - 71;1650;768;882
            71 - 72;1456;691;765
            72 - 73;1228;611;617
            73 - 74;1651;748;903
            74 - 75;1665;823;842
            75 - 76;1644;774;870
            76 - 77;1847;831;1016
            77 - 78;2024;919;1105
            78 - 79;1945;866;1079
            79 - 80;1820;771;1049
            80 - 81;1622;690;932
            81 - 82;1386;589;797
            82 - 83;1312;544;768
            83 - 84;1128;441;687
            84 - 85;860;308;552
            85 - 86;792;268;524
            86 - 87;768;261;507
            87 - 88;731;257;474
            88 - 89;655;215;440
            89 - 90;520;171;349
            90 - 91;459;145;314
            91 - 92;349;86;263
            92 - 93;303;75;228
            93 - 94;251;55;196
            94 - 95;172;32;140
            95 - 96;138;17;121
            96 - 97;84;16;68
            97 - 98;79;18;61
            98 - 99;31;3;28
            99 - 100;15;1;14
            100 und älter;44;9;35
3       Lüneburg                 ;;;
 ;;;
            Insgesamt;1706464;842227;864237
 ;;;
             0 -  1;15225;7748;7477
             1 -  2;15521;8027;7494
             2 -  3;15459;8053;7406
             3 -  4;15580;8038;7542
             4 -  5;15291;7841;7450
             5 -  6;14837;7602;7235
             6 -  7;14733;7649;7084
             7 -  8;15589;8008;7581
             8 -  9;15421;7996;7425
             9 - 10;15753;8096;7657
            10 - 11;15809;8143;7666
            11 - 12;15778;8170;7608
            12 - 13;16134;8254;7880
            13 - 14;16769;8727;8042
            14 - 15;17105;8670;8435
            15 - 16;17492;8908;8584
            16 - 17;18306;9373;8933
            17 - 18;19322;10084;9238
            18 - 19;19241;10104;9137
            19 - 20;18983;9992;8991
            20 - 21;19096;10153;8943
            21 - 22;18107;9715;8392
            22 - 23;17338;9433;7905
            23 - 24;17303;9419;7884
            24 - 25;17290;9330;7960
            25 - 26;17193;9196;7997
            26 - 27;17280;9148;8132
            27 - 28;18457;9937;8520
            28 - 29;18145;9676;8469
            29 - 30;18836;9839;8997
            30 - 31;18722;9696;9026
            31 - 32;18611;9570;9041
            32 - 33;18288;9310;8978
            33 - 34;18029;9090;8939
            34 - 35;18355;9174;9181
            35 - 36;19164;9557;9607
            36 - 37;19468;9529;9939
            37 - 38;19769;9666;10103
            38 - 39;19064;9429;9635
            39 - 40;19113;9444;9669
            40 - 41;19218;9488;9730
            41 - 42;18990;9465;9525
            42 - 43;18557;9263;9294
            43 - 44;19613;9683;9930
            44 - 45;19946;9671;10275
            45 - 46;21820;10801;11019
            46 - 47;24623;12212;12411
            47 - 48;25277;12561;12716
            48 - 49;27915;13758;14157
            49 - 50;29377;14596;14781
            50 - 51;30713;15346;15367
            51 - 52;30887;15330;15557
            52 - 53;30607;15254;15353
            53 - 54;30773;15430;15343
            54 - 55;30368;15210;15158
            55 - 56;28990;14418;14572
            56 - 57;28565;14278;14287
            57 - 58;27231;13476;13755
            58 - 59;26539;13106;13433
            59 - 60;24422;12097;12325
            60 - 61;24091;11838;12253
            61 - 62;22946;11381;11565
            62 - 63;22009;10776;11233
            63 - 64;21823;10543;11280
            64 - 65;21358;10302;11056
            65 - 66;21291;10345;10946
            66 - 67;21203;10307;10896
            67 - 68;21273;10331;10942
            68 - 69;20811;10178;10633
            69 - 70;19455;9555;9900
            70 - 71;17411;8386;9025
            71 - 72;16295;7807;8488
            72 - 73;12885;6060;6825
            73 - 74;16996;8166;8830
            74 - 75;17641;8394;9247
            75 - 76;16505;7753;8752
            76 - 77;19668;9209;10459
            77 - 78;19874;9220;10654
            78 - 79;18803;8552;10251
            79 - 80;17692;7905;9787
            80 - 81;15314;6795;8519
            81 - 82;13699;5890;7809
            82 - 83;12509;5366;7143
            83 - 84;10592;4357;6235
            84 - 85;7645;2973;4672
            85 - 86;7137;2631;4506
            86 - 87;6715;2454;4261
            87 - 88;6244;2167;4077
            88 - 89;5340;1754;3586
            89 - 90;4622;1496;3126
            90 - 91;3770;1180;2590
            91 - 92;3171;944;2227
            92 - 93;2592;650;1942
            93 - 94;1834;402;1432
            94 - 95;1485;329;1156
            95 - 96;1120;186;934
            96 - 97;862;158;704
            97 - 98;586;105;481
            98 - 99;330;65;265
            99 - 100;137;25;112
            100 und älter;323;55;268
351     Celle                    ;;;
 ;;;
            Insgesamt;178764;87877;90887
 ;;;
             0 -  1;1602;818;784
             1 -  2;1661;828;833
             2 -  3;1676;876;800
             3 -  4;1739;870;869
             4 -  5;1623;785;838
             5 -  6;1580;792;788
             6 -  7;1599;845;754
             7 -  8;1639;829;810
             8 -  9;1651;859;792
             9 - 10;1721;866;855
            10 - 11;1622;860;762
            11 - 12;1648;807;841
            12 - 13;1804;923;881
            13 - 14;1768;907;861
            14 - 15;1797;912;885
            15 - 16;1858;946;912
            16 - 17;1904;969;935
            17 - 18;2071;1122;949
            18 - 19;1992;1043;949
            19 - 20;1898;1043;855
            20 - 21;1883;1001;882
            21 - 22;1768;929;839
            22 - 23;1734;917;817
            23 - 24;1809;988;821
            24 - 25;1815;937;878
            25 - 26;1845;969;876
            26 - 27;1843;932;911
            27 - 28;1936;1031;905
            28 - 29;2015;1070;945
            29 - 30;2042;1059;983
            30 - 31;2074;1047;1027
            31 - 32;2059;1044;1015
            32 - 33;1984;986;998
            33 - 34;1844;902;942
            34 - 35;1983;1021;962
            35 - 36;2085;1050;1035
            36 - 37;2019;1005;1014
            37 - 38;2077;1035;1042
            38 - 39;2016;1027;989
            39 - 40;1993;1043;950
            40 - 41;1931;959;972
            41 - 42;1860;940;920
            42 - 43;1858;892;966
            43 - 44;1974;961;1013
            44 - 45;2008;943;1065
            45 - 46;2182;1102;1080
            46 - 47;2450;1242;1208
            47 - 48;2464;1254;1210
            48 - 49;2706;1369;1337
            49 - 50;2802;1375;1427
            50 - 51;3047;1506;1541
            51 - 52;3051;1547;1504
            52 - 53;3131;1614;1517
            53 - 54;3105;1536;1569
            54 - 55;3040;1518;1522
            55 - 56;2925;1493;1432
            56 - 57;2877;1422;1455
            57 - 58;2857;1415;1442
            58 - 59;2627;1264;1363
            59 - 60;2564;1273;1291
            60 - 61;2586;1271;1315
            61 - 62;2437;1207;1230
            62 - 63;2364;1192;1172
            63 - 64;2433;1168;1265
            64 - 65;2412;1103;1309
            65 - 66;2400;1165;1235
            66 - 67;2235;1096;1139
            67 - 68;2250;1082;1168
            68 - 69;2188;1040;1148
            69 - 70;2045;1062;983
            70 - 71;1759;852;907
            71 - 72;1675;762;913
            72 - 73;1389;635;754
            73 - 74;1830;891;939
            74 - 75;1952;945;1007
            75 - 76;1734;804;930
            76 - 77;2141;1030;1111
            77 - 78;2122;966;1156
            78 - 79;1978;910;1068
            79 - 80;1910;829;1081
            80 - 81;1541;691;850
            81 - 82;1460;619;841
            82 - 83;1398;574;824
            83 - 84;1149;462;687
            84 - 85;840;316;524
            85 - 86;803;307;496
            86 - 87;775;292;483
            87 - 88;687;238;449
            88 - 89;666;213;453
            89 - 90;554;178;376
            90 - 91;436;136;300
            91 - 92;377;112;265
            92 - 93;313;73;240
            93 - 94;215;45;170
            94 - 95;192;31;161
            95 - 96;135;26;109
            96 - 97;84;13;71
            97 - 98;68;10;58
            98 - 99;37;6;31
            99 - 100;15;-;15
            100 und älter;43;7;36
352     Cuxhaven                 ;;;
 ;;;
            Insgesamt;198100;97085;101015
 ;;;
             0 -  1;1666;860;806
             1 -  2;1676;913;763
             2 -  3;1634;856;778
             3 -  4;1652;842;810
             4 -  5;1697;919;778
             5 -  6;1595;809;786
             6 -  7;1658;859;799
             7 -  8;1695;825;870
             8 -  9;1702;876;826
             9 - 10;1851;976;875
            10 - 11;1791;935;856
            11 - 12;1740;912;828
            12 - 13;1772;953;819
            13 - 14;1912;983;929
            14 - 15;1950;948;1002
            15 - 16;2046;1022;1024
            16 - 17;1970;996;974
            17 - 18;2176;1131;1045
            18 - 19;2236;1145;1091
            19 - 20;2117;1105;1012
            20 - 21;2008;1070;938
            21 - 22;1940;1043;897
            22 - 23;1761;938;823
            23 - 24;1752;1005;747
            24 - 25;1832;1038;794
            25 - 26;1786;951;835
            26 - 27;1854;960;894
            27 - 28;2006;1067;939
            28 - 29;1873;979;894
            29 - 30;2075;1048;1027
            30 - 31;2033;1024;1009
            31 - 32;2011;1019;992
            32 - 33;2003;1042;961
            33 - 34;1932;977;955
            34 - 35;1937;986;951
            35 - 36;2075;1028;1047
            36 - 37;2095;1033;1062
            37 - 38;2108;1022;1086
            38 - 39;1964;964;1000
            39 - 40;2009;946;1063
            40 - 41;2061;1049;1012
            41 - 42;2070;1016;1054
            42 - 43;2070;1023;1047
            43 - 44;2119;1036;1083
            44 - 45;2305;1122;1183
            45 - 46;2453;1180;1273
            46 - 47;2889;1420;1469
            47 - 48;2946;1439;1507
            48 - 49;3316;1641;1675
            49 - 50;3331;1603;1728
            50 - 51;3412;1699;1713
            51 - 52;3534;1732;1802
            52 - 53;3544;1728;1816
            53 - 54;3535;1753;1782
            54 - 55;3453;1690;1763
            55 - 56;3380;1689;1691
            56 - 57;3274;1620;1654
            57 - 58;3140;1551;1589
            58 - 59;3211;1524;1687
            59 - 60;2896;1388;1508
            60 - 61;2921;1385;1536
            61 - 62;2799;1352;1447
            62 - 63;2817;1372;1445
            63 - 64;2669;1316;1353
            64 - 65;2810;1342;1468
            65 - 66;2799;1372;1427
            66 - 67;2797;1408;1389
            67 - 68;2896;1425;1471
            68 - 69;2745;1336;1409
            69 - 70;2530;1223;1307
            70 - 71;2255;1099;1156
            71 - 72;2308;1150;1158
            72 - 73;1672;815;857
            73 - 74;2171;1057;1114
            74 - 75;2162;1042;1120
            75 - 76;2118;1011;1107
            76 - 77;2436;1154;1282
            77 - 78;2429;1130;1299
            78 - 79;2380;1077;1303
            79 - 80;2178;1017;1161
            80 - 81;1932;856;1076
            81 - 82;1692;742;950
            82 - 83;1602;688;914
            83 - 84;1375;587;788
            84 - 85;985;385;600
            85 - 86;944;327;617
            86 - 87;908;313;595
            87 - 88;796;249;547
            88 - 89;697;234;463
            89 - 90;586;173;413
            90 - 91;523;157;366
            91 - 92;414;119;295
            92 - 93;335;78;257
            93 - 94;260;63;197
            94 - 95;213;50;163
            95 - 96;126;18;108
            96 - 97;109;22;87
            97 - 98;85;16;69
            98 - 99;42;11;31
            99 - 100;10;1;9
            100 und älter;45;5;40
353     Harburg                  ;;;
 ;;;
            Insgesamt;251511;123912;127599
 ;;;
             0 -  1;2324;1173;1151
             1 -  2;2408;1261;1147
             2 -  3;2337;1221;1116
             3 -  4;2317;1176;1141
             4 -  5;2358;1202;1156
             5 -  6;2274;1173;1101
             6 -  7;2323;1180;1143
             7 -  8;2351;1179;1172
             8 -  9;2286;1167;1119
             9 - 10;2431;1248;1183
            10 - 11;2448;1271;1177
            11 - 12;2279;1183;1096
            12 - 13;2399;1232;1167
            13 - 14;2405;1268;1137
            14 - 15;2544;1280;1264
            15 - 16;2547;1289;1258
            16 - 17;2595;1383;1212
            17 - 18;2723;1414;1309
            18 - 19;2667;1408;1259
            19 - 20;2717;1421;1296
            20 - 21;2726;1501;1225
            21 - 22;2616;1441;1175
            22 - 23;2431;1362;1069
            23 - 24;2363;1347;1016
            24 - 25;2312;1265;1047
            25 - 26;2173;1236;937
            26 - 27;2261;1255;1006
            27 - 28;2451;1321;1130
            28 - 29;2411;1291;1120
            29 - 30;2525;1303;1222
            30 - 31;2533;1303;1230
            31 - 32;2597;1328;1269
            32 - 33;2585;1304;1281
            33 - 34;2636;1312;1324
            34 - 35;2683;1339;1344
            35 - 36;2967;1444;1523
            36 - 37;3000;1395;1605
            37 - 38;3163;1537;1626
            38 - 39;3040;1456;1584
            39 - 40;3039;1478;1561
            40 - 41;2966;1454;1512
            41 - 42;3040;1457;1583
            42 - 43;2784;1366;1418
            43 - 44;3011;1523;1488
            44 - 45;3057;1483;1574
            45 - 46;3373;1639;1734
            46 - 47;3708;1777;1931
            47 - 48;3795;1831;1964
            48 - 49;4270;2109;2161
            49 - 50;4731;2342;2389
            50 - 51;4917;2432;2485
            51 - 52;4957;2418;2539
            52 - 53;4776;2335;2441
            53 - 54;4736;2416;2320
            54 - 55;4793;2409;2384
            55 - 56;4348;2143;2205
            56 - 57;4302;2144;2158
            57 - 58;3907;1922;1985
            58 - 59;3926;1982;1944
            59 - 60;3512;1761;1751
            60 - 61;3366;1661;1705
            61 - 62;3274;1666;1608
            62 - 63;3020;1489;1531
            63 - 64;2941;1410;1531
            64 - 65;2820;1387;1433
            65 - 66;2803;1319;1484
            66 - 67;2995;1387;1608
            67 - 68;2929;1370;1559
            68 - 69;2956;1414;1542
            69 - 70;2774;1326;1448
            70 - 71;2644;1211;1433
            71 - 72;2485;1162;1323
            72 - 73;2009;940;1069
            73 - 74;2625;1272;1353
            74 - 75;2761;1273;1488
            75 - 76;2553;1213;1340
            76 - 77;2937;1334;1603
            77 - 78;2998;1395;1603
            78 - 79;2858;1284;1574
            79 - 80;2633;1209;1424
            80 - 81;2269;1000;1269
            81 - 82;1994;875;1119
            82 - 83;1887;815;1072
            83 - 84;1556;669;887
            84 - 85;1112;435;677
            85 - 86;980;395;585
            86 - 87;917;360;557
            87 - 88;882;325;557
            88 - 89;751;254;497
            89 - 90;619;193;426
            90 - 91;505;178;327
            91 - 92;400;132;268
            92 - 93;333;96;237
            93 - 94;223;57;166
            94 - 95;168;34;134
            95 - 96;132;21;111
            96 - 97;104;17;87
            97 - 98;57;18;39
            98 - 99;33;12;21
            99 - 100;18;8;10
            100 und älter;36;6;30
354     Lüchow-Dannenberg        ;;;
 ;;;
            Insgesamt;48357;23750;24607
 ;;;
             0 -  1;352;173;179
             1 -  2;345;174;171
             2 -  3;371;201;170
             3 -  4;393;203;190
             4 -  5;366;187;179
             5 -  6;383;210;173
             6 -  7;342;178;164
             7 -  8;373;206;167
             8 -  9;375;206;169
             9 - 10;370;193;177
            10 - 11;425;224;201
            11 - 12;416;215;201
            12 - 13;437;224;213
            13 - 14;476;238;238
            14 - 15;446;215;231
            15 - 16;515;266;249
            16 - 17;505;285;220
            17 - 18;532;261;271
            18 - 19;475;257;218
            19 - 20;456;255;201
            20 - 21;455;233;222
            21 - 22;419;238;181
            22 - 23;384;219;165
            23 - 24;403;211;192
            24 - 25;395;226;169
            25 - 26;419;224;195
            26 - 27;404;217;187
            27 - 28;432;213;219
            28 - 29;436;227;209
            29 - 30;434;233;201
            30 - 31;445;243;202
            31 - 32;483;263;220
            32 - 33;438;230;208
            33 - 34;440;235;205
            34 - 35;445;222;223
            35 - 36;491;252;239
            36 - 37;480;218;262
            37 - 38;485;238;247
            38 - 39;498;256;242
            39 - 40;489;258;231
            40 - 41;493;222;271
            41 - 42;451;225;226
            42 - 43;446;244;202
            43 - 44;472;238;234
            44 - 45;502;242;260
            45 - 46;536;247;289
            46 - 47;642;325;317
            47 - 48;666;340;326
            48 - 49;724;355;369
            49 - 50;808;393;415
            50 - 51;807;398;409
            51 - 52;839;386;453
            52 - 53;864;448;416
            53 - 54;819;412;407
            54 - 55;905;444;461
            55 - 56;807;388;419
            56 - 57;852;401;451
            57 - 58;833;412;421
            58 - 59;864;403;461
            59 - 60;779;380;399
            60 - 61;776;384;392
            61 - 62;729;338;391
            62 - 63;744;365;379
            63 - 64;744;348;396
            64 - 65;695;333;362
            65 - 66;696;329;367
            66 - 67;731;368;363
            67 - 68;732;368;364
            68 - 69;705;345;360
            69 - 70;659;329;330
            70 - 71;585;294;291
            71 - 72;526;261;265
            72 - 73;436;205;231
            73 - 74;609;316;293
            74 - 75;601;293;308
            75 - 76;571;274;297
            76 - 77;688;320;368
            77 - 78;696;340;356
            78 - 79;602;285;317
            79 - 80;611;258;353
            80 - 81;548;243;305
            81 - 82;493;208;285
            82 - 83;426;181;245
            83 - 84;405;162;243
            84 - 85;278;114;164
            85 - 86;250;86;164
            86 - 87;252;91;161
            87 - 88;256;82;174
            88 - 89;196;65;131
            89 - 90;159;54;105
            90 - 91;129;48;81
            91 - 92;127;39;88
            92 - 93;101;25;76
            93 - 94;48;17;31
            94 - 95;72;20;52
            95 - 96;45;8;37
            96 - 97;36;7;29
            97 - 98;29;11;18
            98 - 99;10;3;7
            99 - 100;7;-;7
            100 und älter;17;3;14
355     Lüneburg                 ;;;
 ;;;
            Insgesamt;182930;89412;93518
 ;;;
             0 -  1;1675;858;817
             1 -  2;1700;892;808
             2 -  3;1733;889;844
             3 -  4;1761;925;836
             4 -  5;1763;873;890
             5 -  6;1660;832;828
             6 -  7;1629;837;792
             7 -  8;1694;870;824
             8 -  9;1764;917;847
             9 - 10;1671;857;814
            10 - 11;1745;869;876
            11 - 12;1734;901;833
            12 - 13;1768;891;877
            13 - 14;1811;946;865
            14 - 15;1808;912;896
            15 - 16;1800;907;893
            16 - 17;1969;1004;965
            17 - 18;2064;1056;1008
            18 - 19;2111;1125;986
            19 - 20;2177;1108;1069
            20 - 21;2324;1152;1172
            21 - 22;2308;1160;1148
            22 - 23;2280;1131;1149
            23 - 24;2233;1116;1117
            24 - 25;2209;1125;1084
            25 - 26;2236;1133;1103
            26 - 27;2061;1035;1026
            27 - 28;2303;1198;1105
            28 - 29;2204;1162;1042
            29 - 30;2331;1218;1113
            30 - 31;2118;1122;996
            31 - 32;2197;1138;1059
            32 - 33;2109;1070;1039
            33 - 34;2099;1046;1053
            34 - 35;2153;1036;1117
            35 - 36;2183;1057;1126
            36 - 37;2343;1140;1203
            37 - 38;2278;1109;1169
            38 - 39;2191;1048;1143
            39 - 40;2285;1091;1194
            40 - 41;2221;1076;1145
            41 - 42;2193;1107;1086
            42 - 43;2155;1068;1087
            43 - 44;2202;1043;1159
            44 - 45;2212;1072;1140
            45 - 46;2436;1223;1213
            46 - 47;2725;1338;1387
            47 - 48;2801;1397;1404
            48 - 49;2946;1374;1572
            49 - 50;3203;1624;1579
            50 - 51;3258;1626;1632
            51 - 52;3329;1648;1681
            52 - 53;3285;1591;1694
            53 - 54;3275;1611;1664
            54 - 55;3132;1594;1538
            55 - 56;3016;1457;1559
            56 - 57;2910;1476;1434
            57 - 58;2754;1384;1370
            58 - 59;2675;1330;1345
            59 - 60;2370;1203;1167
            60 - 61;2420;1150;1270
            61 - 62;2245;1101;1144
            62 - 63;2189;1081;1108
            63 - 64;2178;1049;1129
            64 - 65;2139;1049;1090
            65 - 66;2057;998;1059
            66 - 67;1949;956;993
            67 - 68;2009;950;1059
            68 - 69;2043;997;1046
            69 - 70;1891;912;979
            70 - 71;1649;795;854
            71 - 72;1501;733;768
            72 - 73;1199;551;648
            73 - 74;1614;760;854
            74 - 75;1666;803;863
            75 - 76;1572;745;827
            76 - 77;1952;889;1063
            77 - 78;1824;844;980
            78 - 79;1751;810;941
            79 - 80;1608;687;921
            80 - 81;1439;604;835
            81 - 82;1248;485;763
            82 - 83;1107;470;637
            83 - 84;934;377;557
            84 - 85;684;260;424
            85 - 86;712;259;453
            86 - 87;615;230;385
            87 - 88;567;186;381
            88 - 89;499;159;340
            89 - 90;464;151;313
            90 - 91;359;107;252
            91 - 92;330;94;236
            92 - 93;257;55;202
            93 - 94;195;40;155
            94 - 95;142;25;117
            95 - 96;113;18;95
            96 - 97;98;16;82
            97 - 98;57;7;50
            98 - 99;28;2;26
            99 - 100;16;3;13
            100 und älter;30;6;24
356     Osterholz                ;;;
 ;;;
            Insgesamt;113105;55621;57484
 ;;;
             0 -  1;990;511;479
             1 -  2;1036;525;511
             2 -  3;1000;536;464
             3 -  4;1044;535;509
             4 -  5;978;517;461
             5 -  6;941;488;453
             6 -  7;973;519;454
             7 -  8;1010;535;475
             8 -  9;1003;523;480
             9 - 10;1031;569;462
            10 - 11;1015;497;518
            11 - 12;1057;541;516
            12 - 13;1030;520;510
            13 - 14;1075;579;496
            14 - 15;1148;612;536
            15 - 16;1121;564;557
            16 - 17;1267;656;611
            17 - 18;1204;637;567
            18 - 19;1284;689;595
            19 - 20;1257;682;575
            20 - 21;1228;659;569
            21 - 22;1148;604;544
            22 - 23;970;515;455
            23 - 24;977;532;445
            24 - 25;1025;536;489
            25 - 26;951;491;460
            26 - 27;1011;549;462
            27 - 28;997;541;456
            28 - 29;1062;559;503
            29 - 30;1040;509;531
            30 - 31;1100;564;536
            31 - 32;1093;553;540
            32 - 33;1066;509;557
            33 - 34;1141;567;574
            34 - 35;1187;564;623
