kreis,kreisnummer,total,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,insgesamt,age_under_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_over_80,SR_under_20,SR_20_30,SR_30_40,SR_40_50,SR_50_60,SR_60_70,SR_70_80,SR_over_80,PopProp_under_20,PopProp_20_30,PopProp_30_40,PopProp_40_50,PopProp_50_60,PopProp_60_70,PopProp_70_80,PopProp_over_80,SMR_under_20,SMR_20_30,SMR_30_40,SMR_40_50,SMR_50_60,SMR_60_70,SMR_70_80,PopProp_over_80,SMR
Rotenburg (Wümme),357,1946,12,7,11,52,111,252,449,1052,163377,32135,18340,18257,21814,28042,20338,15083,9368,37.34246149,38.16793893,60.25086268,238.3790226,395.8348192,1239.059888,2976.861367,11229.71819,0.196692313,0.112255703,0.111747676,0.133519406,0.171639827,0.124485087,0.092320216,0.057339772,7.344975119,4.284568819,6.732893859,31.82822552,67.94101985,154.2444775,274.8244857,643.9094854,1191.110132
Heidekreis,358,1713,8,6,7,26,117,197,427,925,139099,26625,15552,15284,17961,23469,17344,13636,9228,30.04694836,38.58024691,45.79952892,144.758087,498.5299757,1135.839483,3131.416838,10023.84049,0.191410434,0.111805261,0.109878576,0.129123861,0.168721558,0.124688172,0.098030899,0.066341239,5.751299434,4.313474576,5.032387005,18.69172316,84.11275423,141.6257486,306.9756073,664.9939971,1231.496991
Stade,359,2168,10,10,15,47,125,247,501,1213,201887,40279,22418,23491,26965,33217,24497,19738,11282,24.82683284,44.60701222,63.85424205,174.3000185,376.3133335,1008.286729,2538.251089,10751.63978,0.199512599,0.111042316,0.11635717,0.133564816,0.164532635,0.121340156,0.097767563,0.055882746,4.953265936,4.953265936,7.429898904,23.2803499,61.9158242,122.3456686,248.1586234,600.831158,1073.868055
Uelzen,360,1333,6,3,8,22,83,161,339,711,92744,16204,9490,9163,12016,16140,12524,10169,7038,37.02789435,31.61222339,87.30765033,183.0892144,514.2503098,1285.531779,3333.661127,10102.30179,0.174717502,0.102324679,0.098798844,0.129560942,0.17402743,0.135038385,0.109645907,0.075886311,6.469421202,3.234710601,8.625894937,23.72121108,89.49365997,173.5961356,365.5222979,766.6264125,1437.289744
Verden,361,1616,0,4,13,24,111,198,401,858,136590,27129,14320,15255,17901,22871,17604,13496,8014,0,27.93296089,85.21796132,134.0707223,485.3307682,1124.744376,2971.250741,10706.26404,0.198616297,0.1048393,0.111684604,0.131056446,0.167442712,0.128882056,0.098806648,0.058671938,0,2.92847207,9.517534227,17.57083242,81.26509993,144.9593675,293.579325,628.157259,1177.97789
Weser-Ems,4,27458,156,110,213,525,1763,3316,6368,15007,2516457,499128,314586,291384,330325,407688,302042,226871,144433,31.25450786,34.96659101,73.0994152,158.9343828,432.4385314,1097.860562,2806.881444,10390.28477,0.198345531,0.125011474,0.115791369,0.131265903,0.162008729,0.120026688,0.090154928,0.057395378,6.199191959,4.371225099,8.464281329,20.86266525,70.05881682,131.7725675,253.0541948,596.3543188,1091.137262
"Delmenhorst,Stadt",401,871,0,2,9,16,63,127,221,427,77521,15095,9489,8909,9887,12272,9477,7850,4542,0,21.07703657,101.021439,161.8286639,513.3637549,1340.086525,2815.286624,9401.14487,0.19472143,0.122405542,0.114923698,0.127539634,0.158305491,0.122250745,0.101262884,0.058590575,0,2.579946079,11.60975736,20.63956863,81.26830149,163.826576,285.0840417,550.8184879,1115.826679
"Emden,Stadt",402,630,0,3,5,13,45,98,140,322,50607,9663,7237,6071,6452,7496,6017,4657,3014,0,41.45364101,82.35875474,201.4879107,600.3201708,1628.718631,3006.227185,10683.47711,0.190941965,0.143003932,0.119963641,0.127492244,0.148121801,0.118896595,0.092022843,0.059556978,0,5.928033671,9.880056119,25.68814591,88.92050507,193.6490999,276.6415713,636.275614,1236.983026
Osnabrück,459,5359,28,18,51,86,326,564,1155,3131,520514,100988,71121,61967,67657,82908,59592,44671,31610,27.72606646,25.30898047,82.30187035,127.1117549,393.2069282,946.4357632,2585.570057,9905.093325,0.194015915,0.136636094,0.119049632,0.129981134,0.159281018,0.114486834,0.085820939,0.060728434,5.379298155,3.458120243,9.798007354,16.52213005,62.63039995,108.3544343,221.8960489,601.5208044,1029.559243
Oldenburg,458,3162,10,11,25,55,196,374,779,1702,297005,55547,40726,36515,39131,48220,34116,26486,16264,18.00277243,27.00977263,68.46501438,140.5535253,406.4703443,1096.259819,2941.176471,10464.8303,0.187023787,0.137122271,0.122944058,0.131751991,0.162354169,0.114866753,0.08917695,0.054760021,3.366946684,3.703641353,8.417366711,18.51820676,65.99215501,125.923806,262.2851467,573.0543257,1061.261595
